fy_ef,organization_id,organization,core_responsibility,program_id,program_name,planned_spending_1,actual_spending,planned_spending_2,planned_spending_3,planned_ftes_1,actual_ftes,planned_ftes_2,planned_ftes_3,planning_explanation,variance_explanation
FY 2018-19,46,Canada Revenue Agency,Tax,BRA05,International and Large Business Compliance and Criminal Investigations,393388018,398210080.6,401978470,395414725,3150,2999,3215,3153,,
FY 2018-19,46,Canada Revenue Agency,Tax,BRA06,Objections and Appeals,187930283,190322394.8,187159194,185341101,1548,1530,1543,1523,,
FY 2018-19,46,Canada Revenue Agency,Tax,BRA07,Taxpayer Relief,17479178,16915388.71,17446626,17551477,238,247,236,245,,
FY 2018-19,46,Canada Revenue Agency,Tax,BRA08,Service Complaints,7393762,12471594.93,9055961,8590566,84,150,95,92,,"The increase in spending in 2018-19 was primarily due to additional spending to address backlog pressures and meet program targets in the Service Complaints and Problem Resolution programs which included transfers from the Objections and Appeals and Taxpayer Relief programs during the year as well as from centrally held provisions to fund operational priorities. 

The increase in FTEs in 2018-19 was primarily due to additional staffing to address backlog pressures and meet program targets in the Service Complaints and Problem Resolution programs."
FY 2018-19,46,Canada Revenue Agency,Tax,BRA09,Charities,35722352,32741000.22,32089316,32149791,393,305,355,355,,The decrease in FTEs in 2018-19 was primarily due to the transfer of workload to Domestic Compliance Branch for field audits.
FY 2018-19,46,Canada Revenue Agency,Tax,BRA10,Registered Plans,14821526,15385993.23,14900890,14902186,165,141,167,165,,The decrease in FTEs in 2018-19 was primarily due to a change in staff complement from what was planned.
FY 2018-19,46,Canada Revenue Agency,Tax,BRA11,"Policy, Rulings, and Interpretations",85430178,84758492.46,89576833,89615648,1146,1049,1175,1175,,
FY 2018-19,46,Canada Revenue Agency,Benefits,BRB01,Benefits,482609132,1128379061,474246261,477744586,1506,1135,1474,1463,,"The increase in spending in 2018-19 was primarily due to statutory Climate Action Incentive payments included in actual spending but not reflected in planned spending due to the timing of legislation ($664M) and slightly higher than planned statutory Children's Special Allowance payments. This was partially offset by decreases due to lower benefit call volumes as a result of the implementation of the Hosted Contact Centre Service and the realignment of workload with the Tax Services and Processing program. 

The decrease in FTEs in 2018-19 was primarily due to staffing delays and the realignment of workload with the Tax Services and Processing program related to higher call acceptance on the Individuals Tax Enquiries line."
FY 2018-19,46,Canada Revenue Agency,Taxpayers' Ombudsman,BRC01,Taxpayers' Ombudsman,3132365,3097900.19,3141688,3146233,31,29,31,31,,
FY 2018-19,46,Canada Revenue Agency,Internal Services,ISS01,Management and Oversight Services - Canada Revenue Agency,127463264,139630857.9,127382238,128079970,1034,1087,1049,1051,,
FY 2018-19,46,Canada Revenue Agency,Internal Services,ISS02,Communications Services - Canada Revenue Agency,48294639,60909428.91,48376754,48672932,417,439,425,423,,"The increase in spending in 2018-19 was primarily due to new funding for Government advertising programs as well as to implement the carbon fuel charge, including Climate Action Incentive advertising and outreach activities. Other increases were associated with workload transfers from other programs during the year."
FY 2018-19,46,Canada Revenue Agency,Internal Services,ISS03,Legal Service - Canada Revenue Agency,2793141,2605609.02,2805801,2812267,32,26,32,32,,The decrease in FTEs in 2018-19 was primarily due to employees on leave without pay and staffing delays.
FY 2018-19,46,Canada Revenue Agency,Internal Services,ISS04,Human Resources Management Services - Canada Revenue Agency,112974949,121872345.4,113620074,112542524,1122,1200,1127,1102,,
FY 2018-19,46,Canada Revenue Agency,Internal Services,ISS05,Financial Management Services - Canada Revenue Agency,66583545,48449029.48,69746484,85412724,726,609,718,721,,"Includes centrally held provisions. The decrease in spending in 2018-19 was primarily due to allocations made to other programs for major project investments and operational priorities during the year as well as vacant positions and staffing delays. 

The decrease in FTEs in 2018-19 was primarily due to vacant positions and staffing delays."
FY 2018-19,46,Canada Revenue Agency,Internal Services,ISS06,Information Management Services - Canada Revenue Agency,59432582,52594699.61,59811726,59894343,407,373,407,407,,"The decrease in spending in 2018-19 was primarily due to reduction in program mail volumes and workload transfers with other programs during the year, including agency-wide internal reallocation exercises."
FY 2018-19,46,Canada Revenue Agency,Internal Services,ISS07,Information Technology Management Services - Canada Revenue Agency,426293259,540430977.3,418312235,394983744,3317,3767,3196,2981,,"The increase in spending in 2018-19 was primarily due to workload transfers from other programs for central infrastructure and information technology work, major project investments, and specific operational priorities. Other increases are due to collective bargaining adjustments, and new funding to implement Budget 2018 meaures and the carbon fuel charge.  

Includes expenditures associated with activities carried out on behalf of the programs to ensure the continued sustainability of CRA systems. 

The increase in FTEs in 2018-19 was primarily due to workload transfers from other programs for information technology work and additional spending for major project investments. 

Includes FTEs associated with activities carried out on behalf of the programs to ensure the continued sustainability of CRA systems."
FY 2018-19,46,Canada Revenue Agency,Internal Services,ISS08,Real Property Management Services - Canada Revenue Agency,44427030,25432547.31,44177679,41841025,233,232,233,233,,The decrease in spending in 2018-19 was primarily due to lower than planned major and minor tenant services costs as a result of changes in the nature and timing of real property projects.
